DATE OF FINAL,YEAR,Decade,TOURNAMENT,WINNER,DOB,Age when Grand Slam won (days lived),"Age when Grand Slam won (years, rounded)",(days since last birthday),Age when Grand Slam won (years)
25 July 1947,1947,1940s,French Open,Patricia Todd,22/07/1922,9134,25,9,25.02465753
03 July 1947,1947,1940s,Wimbledon,Margaret Osborne,04/03/1918,10713,29,128,29.35068493
28 January 1947,1947,1940s,Australian Open,Nancye Wynne Bolton,02/12/1916,11014,30,64,30.17534247
07 September 1946,1946,1940s,U.S. Open,Pauline Betz,28/11/1926,7223,19,288,19.7890411
26 July 1946,1946,1940s,French Open,Margaret Osborne,04/03/1918,10371,28,151,28.41369863
04 July 1946,1946,1940s,Wimbledon,Pauline Betz,28/11/1926,7158,19,223,19.6109589
28 January 1946,1946,1940s,Australian Open,Nancye Wynne Bolton,02/12/1916,10649,29,64,29.17534247
02 September 1945,1945,1940s,U.S. Open,Sarah Palfrey Cooke,18/09/1912,12037,32,357,32.97808219
03 September 1944,1944,1940s,U.S. Open,Pauline Betz,28/11/1926,6489,17,284,17.77808219
05 September 1943,1943,1940s,U.S. Open,Pauline Betz,28/11/1926,6125,16,285,16.78082192
06 September 1942,1942,1940s,U.S. Open,Pauline Betz,28/11/1926,5761,15,286,15.78356164
06 September 1941,1941,1940s,U.S. Open,Sarah Palfrey Cooke,18/09/1912,10580,28,360,28.98630137
08 September 1940,1940,1940s,U.S. Open,Alice Marble,28/09/1913,9842,26,352,26.96438356
28 January 1940,1940,1940s,Australian Open,Nancye Wynne Bolton,02/12/1916,8457,23,62,23.16986301
16 September 1939,1939,1930s,U.S. Open,Alice Marble,28/09/1913,9484,25,359,25.98356164
06 July 1939,1939,1930s,Wimbledon,Alice Marble,28/09/1913,9412,25,287,25.78630137
16 June 1939,1939,1930s,French Open,Simonne Mathieu,31/01/1908,11459,31,144,31.39452055
27 January 1939,1939,1930s,Australian Open,Emily Hood Westacott,06/05/1910,10493,28,273,28.74794521
23 September 1938,1938,1930s,U.S. Open,Alice Marble,28/09/1913,9126,25,1,25.00273973
30 June 1938,1938,1930s,Wimbledon,Helen Wills Moody,06/10/1905,11955,32,275,32.75342466
10 June 1938,1938,1930s,French Open,Simonne Mathieu,31/01/1908,11088,30,138,30.37808219
30 January 1938,1938,1930s,Australian Open,Dorothy Cheney,01/09/1916,7821,21,156,21.42739726
10 September 1937,1937,1930s,U.S. Open,Anita Lizana,19/11/1915,7966,21,301,21.82465753
01 July 1937,1937,1930s,Wimbledon,Dorothy Round,13/07/1908,10580,28,360,28.98630137
29 May 1937,1937,1930s,French Open,Hilde Sperling,26/03/1908,10656,29,71,29.19452055
30 January 1937,1937,1930s,Australian Open,Nancye Wynne Bolton,02/12/1916,7364,20,64,20.17534247
11 September 1936,1936,1930s,U.S. Open,Alice Marble,28/09/1913,8384,22,354,22.96986301
02 July 1936,1936,1930s,Wimbledon,Helen Jacobs,06/08/1908,10192,27,337,27.92328767
31 May 1936,1936,1930s,French Open,Hilde Sperling,26/03/1908,10293,28,73,28.2
26 January 1936,1936,1930s,Australian Open,Joan Hartigan Bathurst,06/06/1912,8634,23,239,23.65479452
11 September 1935,1935,1930s,U.S. Open,Helen Jacobs,06/08/1908,9897,27,42,27.11506849
04 July 1935,1935,1930s,Wimbledon,Helen Wills Moody,06/10/1905,10863,29,278,29.76164384
01 June 1935,1935,1930s,French Open,Hilde Sperling,26/03/1908,9928,27,73,27.2
13 January 1935,1935,1930s,Australian Open,Dorothy Round,13/07/1908,9680,26,190,26.52054795
18 August 1934,1934,1930s,U.S. Open,Helen Jacobs,06/08/1908,9508,26,18,26.04931507
05 July 1934,1934,1930s,Wimbledon,Dorothy Round,13/07/1908,9488,25,363,25.99452055
01 June 1934,1934,1930s,French Open,Margaret Scriven,12/08/1912,7963,21,298,21.81643836
26 January 1934,1934,1930s,Australian Open,Joan Hartigan Bathurst,06/06/1912,7904,21,239,21.65479452
19 August 1933,1933,1930s,U.S. Open,Helen Jacobs,06/08/1908,9144,25,19,25.05205479
06 July 1933,1933,1930s,Wimbledon,Helen Wills Moody,06/10/1905,10135,27,280,27.76712329
04 June 1933,1933,1930s,French Open,Margaret Scriven,12/08/1912,7601,20,301,20.82465753
29 January 1933,1933,1930s,Australian Open,Joan Hartigan Bathurst,06/06/1912,7542,20,242,20.6630137
19 August 1932,1932,1930s,U.S. Open,Helen Jacobs,06/08/1908,8779,24,19,24.05205479
01 July 1932,1932,1930s,Wimbledon,Helen Wills Moody,06/10/1905,9765,26,275,26.75342466
05 June 1932,1932,1930s,French Open,Helen Wills Moody,06/10/1905,9739,26,249,26.68219178
12 February 1932,1932,1930s,Australian Open,Coral McInnes Buttsworth,07/06/1900,11572,31,257,31.70410959
20 August 1931,1931,1930s,U.S. Open,Helen Wills Moody,06/10/1905,9449,25,324,25.88767123
02 July 1931,1931,1930s,Wimbledon,Cilly Aussem,04/01/1909,8214,22,184,22.50410959
30 May 1931,1931,1930s,French Open,Cilly Aussem,04/01/1909,8181,22,151,22.41369863
07 March 1931,1931,1930s,Australian Open,Coral McInnes Buttsworth,07/06/1900,11230,30,280,30.76712329
23 August 1930,1930,1930s,U.S. Open,Betty Nuthall,23/05/1911,7032,19,97,19.26575342
04 July 1930,1930,1930s,Wimbledon,Helen Wills Moody,06/10/1905,9037,24,277,24.75890411
31 May 1930,1930,1930s,French Open,Helen Wills Moody,06/10/1905,9003,24,243,24.66575342
24 January 1930,1930,1930s,Australian Open,Daphne Akhurst,22/04/1903,9774,26,284,26.77808219
24 August 1929,1929,1920s,U.S. Open,Helen Wills Moody,06/10/1905,8723,23,328,23.89863014
05 July 1929,1929,1920s,Wimbledon,Helen Wills Moody,06/10/1905,8673,23,278,23.76164384
02 June 1929,1929,1920s,French Open,Helen Wills Moody,06/10/1905,8640,23,245,23.67123288
27 January 1929,1929,1920s,Australian Open,Daphne Akhurst,22/04/1903,9412,25,287,25.78630137
27 August 1928,1928,1920s,U.S. Open,Helen Wills Moody,06/10/1905,8361,22,331,22.90684932
05 July 1928,1928,1920s,Wimbledon,Helen Wills Moody,06/10/1905,8308,22,278,22.76164384
03 June 1928,1928,1920s,French Open,Helen Wills Moody,06/10/1905,8276,22,246,22.6739726
29 January 1928,1928,1920s,Australian Open,Daphne Akhurst,22/04/1903,9048,24,288,24.7890411
30 August 1927,1927,1920s,U.S. Open,Helen Wills Moody,06/10/1905,7998,21,333,21.91232877
01 July 1927,1927,1920s,Wimbledon,Helen Wills Moody,06/10/1905,7938,21,273,21.74794521
04 June 1927,1927,1920s,French Open,Kea Bouman,23/11/1903,8594,23,199,23.54520548
26 January 1927,1927,1920s,Australian Open,Esna Boyd,21/09/1899,9988,27,133,27.36438356
23 August 1926,1926,1920s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,15509,42,179,42.49041096
02 July 1926,1926,1920s,Wimbledon,Kitty McKane Godfree,07/05/1896,11012,30,62,30.16986301
13 June 1926,1926,1920s,French Open,Suzanne Lenglen,24/05/1899,9881,27,26,27.07123288
01 February 1926,1926,1920s,Australian Open,Daphne Akhurst,22/04/1903,8321,22,291,22.79726027
24 August 1925,1925,1920s,U.S. Open,Helen Wills Moody,06/10/1905,7262,19,327,19.89589041
03 July 1925,1925,1920s,Wimbledon,Suzanne Lenglen,24/05/1899,9536,26,46,26.1260274
05 June 1925,1925,1920s,French Open,Suzanne Lenglen,24/05/1899,9508,26,18,26.04931507
30 January 1925,1925,1920s,Australian Open,Daphne Akhurst,22/04/1903,7954,21,289,21.79178082
16 August 1924,1924,1920s,U.S. Open,Helen Wills Moody,06/10/1905,6889,18,319,18.8739726
04 July 1924,1924,1920s,Wimbledon,Kitty McKane Godfree,07/05/1896,10284,28,64,28.17534247
25 January 1924,1924,1920s,Australian Open,Sylvia Lance Harper,,,0,0,0
18 August 1923,1923,1920s,U.S. Open,Helen Wills Moody,06/10/1905,6525,17,320,17.87671233
17 August 1923,1923,1920s,Australian Open,Margaret Molesworth,18/10/1894,10529,28,309,28.84657534
06 July 1923,1923,1920s,Wimbledon,Suzanne Lenglen,24/05/1899,8808,24,48,24.13150685
,1923,1920s,French Open,Suzanne Lenglen,24/05/1899,,0,0,0
08 December 1922,1922,1920s,Australian Open,Margaret Molesworth,18/10/1894,10277,28,57,28.15616438
19 August 1922,1922,1920s,U.S. Open,Helen Wills Moody,06/10/1905,6161,16,321,16.87945205
09 July 1922,1922,1920s,Wimbledon,Suzanne Lenglen,24/05/1899,8446,23,51,23.13972603
,1922,1920s,French Open,Suzanne Lenglen,24/05/1899,,0,0,0
20 August 1921,1921,1920s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,13680,37,175,37.47945205
01 July 1921,1921,1920s,Wimbledon,Suzanne Lenglen,24/05/1899,8073,22,43,22.11780822
,1921,1920s,French Open,Suzanne Lenglen,24/05/1899,,0,0,0
25 September 1920,1920,1920s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,13351,36,211,36.57808219
02 July 1920,1920,1920s,Wimbledon,Suzanne Lenglen,24/05/1899,7709,21,44,21.12054795
,1920,1920s,French Open,Suzanne Lenglen,24/05/1899,,0,0,0
06 July 1919,1919,1910s,Wimbledon,Suzanne Lenglen,24/05/1899,7347,20,47,20.12876712
20 June 1919,1919,1910s,U.S. Open,Hazel Hotchkiss Wightman,20/12/1886,11869,32,189,32.51780822
22 June 1918,1918,1910s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,12516,34,106,34.29041096
23 June 1917,1917,1910s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,12151,33,106,33.29041096
12 June 1916,1916,1910s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,11786,32,106,32.29041096
13 June 1915,1915,1910s,U.S. Open,Molla Bjurstedt Mallory,06/03/1884,11420,31,105,31.28767123
03 July 1914,1914,1910s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,13086,35,311,35.85205479
13 June 1914,1914,1910s,U.S. Open,Mary Browne,03/06/1891,8410,23,15,23.04109589
,1914,1910s,French Open,Marguerite Broquedis,17/04/1893,,0,0,0
03 July 1913,1913,1910s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,12721,34,311,34.85205479
14 June 1913,1913,1910s,U.S. Open,Mary Browne,03/06/1891,8046,22,16,22.04383562
,1913,1910s,French Open,Marguerite Broquedis,17/04/1893,,0,0,0
07 July 1912,1912,1910s,Wimbledon,Ethel Larcombe,08/06/1879,12082,33,37,33.10136986
15 June 1912,1912,1910s,U.S. Open,Mary Browne,03/06/1891,7682,21,17,21.04657534
,1912,1910s,French Open,Jeanne Matthey,25/01/1886,,0,0,0
07 July 1911,1911,1910s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,11994,32,314,32.86027397
17 June 1911,1911,1910s,U.S. Open,Hazel Hotchkiss Wightman,20/12/1886,8944,24,184,24.50410959
,1911,1910s,French Open,Jeanne Matthey,25/01/1886,,0,0,0
29 June 1910,1910,1910s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,11621,31,306,31.83835616
26 June 1910,1910,1910s,U.S. Open,Hazel Hotchkiss Wightman,20/12/1886,8588,23,193,23.52876712
,1910,1910s,French Open,Jeanne Matthey,25/01/1886,,0,0,0
02 July 1909,1909,1900s,Wimbledon,Dora Boothby,02/08/1881,10195,27,340,27.93150685
27 June 1909,1909,1900s,U.S. Open,Hazel Hotchkiss Wightman,20/12/1886,8224,22,194,22.53150685
,1909,1900s,French Open,Jeanne Matthey,25/01/1886,,0,0,0
02 July 1908,1908,1900s,Wimbledon,Charlotte Cooper Sterry,22/09/1870,13797,37,292,37.8
27 June 1908,1908,1900s,U.S. Open,Maud Barger-Wallach,15/06/1870,13891,38,21,38.05753425
,1908,1900s,French Open,Kate Gillou-Fenwick,19/02/1887,,0,0,0
04 July 1907,1907,1900s,Wimbledon,May Sutton,25/09/1886,7587,20,287,20.78630137
02 July 1907,1907,1900s,U.S. Open,Evelyn Sears,09/03/1875,11802,32,122,32.33424658
,1907,1900s,French Open,Comtesse de Kermel,15/06/1874,,0,0,0
04 July 1906,1906,1900s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,10165,27,310,27.84931507
23 June 1906,1906,1900s,U.S. Open,Helen Homans,,,0,0,0
,1906,1900s,French Open,Kate Gillou-Fenwick,19/02/1887,,0,0,0
07 July 1905,1905,1900s,Wimbledon,May Sutton,25/09/1886,6859,18,289,18.79178082
24 June 1905,1905,1900s,U.S. Open,Elisabeth Moore,05/03/1876,10702,29,117,29.32054795
,1905,1900s,French Open,Kate Gillou-Fenwick,19/02/1887,,0,0,0
28 June 1904,1904,1900s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,9429,25,304,25.83287671
25 June 1904,1904,1900s,U.S. Open,May Sutton,25/09/1886,7396,20,96,20.2630137
,1904,1900s,French Open,Kate Gillou-Fenwick,19/02/1887,,0,0,0
30 June 1903,1903,1900s,Wimbledon,Dorothea Douglass Lambert Chambers,03/09/1878,9065,24,305,24.83561644
27 June 1903,1903,1900s,U.S. Open,Elisabeth Moore,05/03/1876,9974,27,119,27.3260274
,1903,1900s,French Open,Adine Masson,,,0,0,0
01 July 1902,1902,1900s,Wimbledon,Muriel Robb,13/05/1878,8814,24,54,24.14794521
27 June 1902,1902,1900s,U.S. Open,Marion Jones,02/11/1879,8272,22,242,22.6630137
,1902,1900s,French Open,Adine Masson,,,0,0,0
02 July 1901,1901,1900s,Wimbledon,Charlotte Cooper Sterry,22/09/1870,11240,30,290,30.79452055
29 June 1901,1901,1900s,U.S. Open,Elisabeth Moore,05/03/1876,9246,25,121,25.33150685
,1901,1900s,French Open,P. Girod,,,0,0,0
03 July 1900,1900,1900s,Wimbledon,Blanche Bingley Hillyard,03/11/1863,13391,36,251,36.68767123
23 June 1900,1900,1900s,U.S. Open,Myrtle McAteer,12/06/1878,8046,22,16,22.04383562
,1900,1900s,French Open,Helene Prevost,,,0,0,0
26 June 1899,1899,1890s,Wimbledon,Blanche Bingley Hillyard,03/11/1863,13019,35,244,35.66849315
24 June 1899,1899,1890s,U.S. Open,Marion Jones,02/11/1879,7174,19,239,19.65479452
,1899,1890s,French Open,Adine Masson,,,0,0,0
27 June 1898,1898,1890s,Wimbledon,Charlotte Cooper Sterry,22/09/1870,10140,27,285,27.78082192
18 June 1898,1898,1890s,U.S. Open,Juliette Atkinson,15/04/1873,9195,25,70,25.19178082
,1898,1890s,French Open,Adine Masson,,,0,0,0
30 June 1897,1897,1890s,Wimbledon,Blanche Bingley Hillyard,03/11/1863,12293,33,248,33.67945205
19 June 1897,1897,1890s,U.S. Open,Juliette Atkinson,15/04/1873,8831,24,71,24.19452055
,1897,1890s,French Open,Adine Masson,,,0,0,0
20 July 1896,1896,1890s,Wimbledon,Charlotte Cooper Sterry,22/09/1870,9433,25,308,25.84383562
20 June 1896,1896,1890s,U.S. Open,Elisabeth Moore,05/03/1876,7412,20,112,20.30684932
14 July 1895,1895,1890s,Wimbledon,Charlotte Cooper Sterry,22/09/1870,9061,24,301,24.82465753
29 June 1895,1895,1890s,U.S. Open,Juliette Atkinson,15/04/1873,8110,22,80,22.21917808
17 July 1894,1894,1890s,Wimbledon,Blanche Bingley Hillyard,03/11/1863,11214,30,264,30.72328767
16 June 1894,1894,1890s,U.S. Open,Helen Hellwig,04/03/1874,7410,20,110,20.30136986
19 July 1893,1893,1890s,Wimbledon,Lottie Dod,24/09/1871,7969,21,304,21.83287671
23 June 1893,1893,1890s,U.S. Open,Aline Terry,,,0,0,0
6 July 1892,1892,1890s,Wimbledon,Lottie Dod,24/09/1871,7591,20,291,20.79726027
25 June 1892,1892,1890s,U.S. Open,Mabel Cahill,02/04/1863,10678,29,93,29.25479452
8 July 1891,1891,1890s,Wimbledon,Lottie Dod,24/09/1871,7227,19,292,19.8
27 June 1891,1891,1890s,U.S. Open,Mabel Cahill,02/04/1863,10313,28,93,28.25479452
6 July 1890,1890,1890s,Wimbledon,Lena Rice,21/06/1866,8781,24,21,24.05753425
13 June 1890,1890,1890s,U.S. Open,Ellen Roosevelt,20/08/1868,7967,21,302,21.82739726
12 July 1889,1889,1880s,Wimbledon,Blanche Bingley Hillyard,03/11/1863,9383,25,258,25.70684932
15 June 1889,1889,1880s,U.S. Open,Bertha Townsend,07/03/1869,7405,20,105,20.28767123
15 July 1888,1888,1880s,Wimbledon,Lottie Dod,24/09/1871,6139,16,299,16.81917808
15 June 1888,1888,1880s,U.S. Open,Bertha Townsend,07/03/1869,7040,19,105,19.28767123
05 October 1887,1887,1880s,U.S. Open,Ellen Hansell,18/09/1869,6591,18,21,18.05753425
6 July 1887,1887,1880s,Wimbledon,Lottie Dod,24/09/1871,5764,15,289,15.79178082
16 July 1886,1886,1880s,Wimbledon,Blanche Bingley Hillyard,03/11/1863,8291,22,261,22.71506849
16 July 1885,1885,1880s,Wimbledon,Maud Watson,09/10/1864,7585,20,285,20.78082192
18 July 1884,1884,1880s,Wimbledon,Maud Watson,09/10/1864,7222,19,287,19.78630137
