DATE OF FINAL,YEAR,TOURNAMENT,WINNER,DOB,Age when Grand Slam won (days),"Age when Grand Slam won (years, months, days)"
04/07/13,1913,Wimbledon,Tony Wilding,31/10/1883,10838,"29 years, 8 months, 4 days"
,1913,French Open,Max Decugis,24/09/1882,,
15/11/13,1913,Australian Open,Ernest Frederick Parker,05/11/1883,10967,
26/08/12,1912,U.S. Open,Maurice E. McLoughlin,07/01/1890,8266,"22 years, 7 months, 19 days"
08/07/12,1912,Wimbledon,Tony Wilding,31/10/1883,10477,"28 years, 8 months, 8 days"
,1912,French Open,Max Decugis,24/09/1882,,
01/01/12,1912,Australian Open,Cecil Parke,26/07/1881,11115,
03/09/11,1911,U.S. Open,William A. Larned,30/12/1872,14125,"38 years, 8 months, 4 days"
08/07/11,1911,Wimbledon,Tony Wilding,31/10/1883,10111,"27 years, 8 months, 8 days"
,1911,French Open,Andre Gobert,30/09/1890,,
25/11/11,1911,Australian Open,Norman Brookes,14/11/1877,12428,
25/08/10,1910,U.S. Open,William A. Larned,30/12/1872,13751,"37 years, 7 months, 26 days"
30/06/10,1910,Wimbledon,Tony Wilding,31/10/1883,9738,"26 years, 7 months, 30 days"
,1910,French Open,Maurice Germot,15/11/1882,,
19/03/10,1910,Australian Open,Rodney Heath,15/06/1884,9407,
27/08/09,1909,U.S. Open,William A. Larned,30/12/1872,13388,"36 years, 7 months, 28 days"
03/07/09,1909,Wimbledon,Arthur Gore,02/01/1868,15157,"41 years, 6 months, 1 day"
,1909,French Open,Max Decugis,24/09/1882,,
27/10/09,1909,Australian Open,Tony Wilding,31/10/1883,9492,
29/08/08,1908,U.S. Open,William A. Larned,30/12/1872,13025,"35 years, 7 months, 30 days"
03/07/08,1908,Wimbledon,Arthur Gore,02/01/1868,14792,"40 years, 6 months, 1 day"
,1908,French Open,Max Decugis,24/09/1882,,
12/12/08,1908,Australian Open,Fred Alexander,14/08/1880,10346,
28/08/07,1907,U.S. Open,William A. Larned,30/12/1872,12658,"34 years, 7 months, 29 days"
05/07/07,1907,Wimbledon,Norman Brookes,14/11/1877,10824,"29 years, 7 months, 21 days"
,1907,French Open,Max Decugis,24/09/1882,,
24/08/07,1907,Australian Open,Horace Rice,05/09/1872,12770,
29/08/06,1906,U.S. Open,William A. Larned,30/12/1872,12294,"33 years, 7 months, 30 days"
05/07/06,1906,Wimbledon,Laurie Doherty,08/10/1875,11227,"30 years, 8 months, 27 days"
,1906,French Open,Maurice Germot,15/11/1882,,
31/12/06,1906,Australian Open,Tony Wilding,31/10/1883,8461,
31/08/05,1905,U.S. Open,Beals C. Wright,19/12/1879,9386,"25 years, 8 months, 12 days"
08/07/05,1905,Wimbledon,Laurie Doherty,08/10/1875,10865,"29 years, 9 months, 0 days"
,1905,French Open,Maurice Germot,15/11/1882,,
26/11/05,1905,Australian Open,Rodney Heath,15/06/1884,7669,
31/08/04,1904,U.S. Open,Holcombe Ward,23/11/1878,9412,"25 years, 9 months, 8 days"
29/06/04,1904,Wimbledon,Laurie Doherty,08/10/1875,10491,"28 years, 8 months, 21 days"
,1904,French Open,Max Decugis,24/09/1882,,
26/08/03,1903,U.S. Open,Laurie Doherty,08/10/1875,10183,
01/07/03,1903,Wimbledon,Laurie Doherty,08/10/1875,10151,"27 years, 9 months, 17 days"
,1903,French Open,Max Decugis,24/09/1882,,
27/08/02,1902,U.S. Open,William A. Larned,30/12/1872,10831,"29 years, 7 months, 28 days"
02/07/02,1902,Wimbledon,Laurie Doherty,08/10/1875,9763,"26 years, 8 months, 24 days"
,1902,French Open,Michel Vacherot,12/11/1864,,
27/08/01,1901,U.S. Open,William A. Larned,30/12/1872,10466,"28 years, 7 months, 28 days"
03/07/01,1901,Wimbledon,Arthur Gore,02/01/1868,12236,"33 years, 6 months, 2 days"
,1901,French Open,Andre Vacherot,27/08/1860,,
21/08/00,1900,U.S. Open,Malcolm D. Whitman,15/03/1877,8559,"23 years, 5 months, 6 days"
04/07/00,1900,Wimbledon,Reggie Doherty,14/10/1872,10125,"27 years, 8 months, 21 days"
,1900,French Open,Paul Ayme,29/07/1869,,
21/08/1899,1899,U.S. Open,Malcolm D. Whitman,15/03/1877,8194,"22 years, 5 months, 6 days"
27/06/1899,1899,Wimbledon,Reggie Doherty,14/10/1872,9753,"26 years, 8 months, 14 days"
,1899,French Open,Paul Ayme,29/07/1869,,
22/08/1898,1898,U.S. Open,Malcolm D. Whitman,15/03/1877,7830,"21 years, 5 months, 7 days"
28/06/1898,1898,Wimbledon,Reggie Doherty,14/10/1872,9389,"25 years, 8 months, 15 days"
,1898,French Open,Paul Ayme,29/07/1869,,
23/08/1897,1897,U.S. Open,Robert D. Wrenn,20/09/1873,8738,"23 years, 11 months, 3 days"
01/07/1897,1897,Wimbledon,Reggie Doherty,14/10/1872,9027,"24 years, 8 months, 18 days"
,1897,French Open,Paul Ayme,29/07/1869,,
26/08/1896,1896,U.S. Open,Robert D. Wrenn,20/09/1873,8377,"22 years, 11 months, 7 days"
21/07/1896,1896,Wimbledon,Harold Mahoney,13/02/1867,10752,"29 years, 5 months, 9 days"
,1896,French Open,Andre Vacherot,27/08/1860,,
25/08/1895,1895,U.S. Open,Fred H. Hovey,07/10/1868,9819,"26 years, 10 months, 19 days"
15/07/1895,1895,Wimbledon,Wilfred Baddeley,11/01/1872,8587,"23 years, 6 months, 5 days"
,1895,French Open,Andre Vacherot,27/08/1860,,
27/08/1894,1894,U.S. Open,Robert D. Wrenn,20/09/1873,7647,"20 years, 11 months, 8 days"
18/07/1894,1894,Wimbledon,Joshua Pim,20/05/1869,9191,"25 years, 1 month, 29 days"
,1894,French Open,Andre Vacherot,27/08/1860,,
28/08/1893,1893,U.S. Open,Robert D. Wrenn,20/09/1873,7283,"19 years, 11 months, 9 days"
20/07/1893,1893,Wimbledon,Joshua Pim,20/05/1869,8828,"24 years, 2 months, 1 day"
,1893,French Open,L. Riboulet,18/04/1871,,
30/08/1892,1892,U.S. Open,Oliver S. Campbell,25/02/1871,7858,"21 years, 6 months, 6 days"
07/07/1892,1892,Wimbledon,Wilfred Baddeley,11/01/1872,7484,"20 years, 5 months, 27 days"
,1892,French Open,Jean Schopfer,28/05/1868,,
31/08/1891,1891,U.S. Open,Oliver S. Campbell,25/02/1871,7493,"20 years, 6 months, 7 days"
09/07/1891,1891,Wimbledon,Wilfred Baddeley,11/01/1872,7120,"19 years, 5 months, 29 days"
,1891,French Open,H. Briggs,NA,,
27/08/1890,1890,U.S. Open,Oliver S. Campbell,25/02/1871,7124,"19 years, 6 months, 3 days"
07/07/1890,1890,Wimbledon,Willoughby Hamilton,09/12/1864,9342,"25 years, 6 months, 29 days"
03/09/1889,1889,U.S. Open,Henry W. Slocum Jr.,28/05/1862,9961,"27 years, 3 months, 7 days"
13/07/1889,1889,Wimbledon,William Renshaw,03/01/1861,10418,"28 years, 6 months, 10 days"
28/08/1888,1888,U.S. Open,Henry W. Slocum Jr.,28/05/1862,9590,"26 years, 3 months, 1 day"
16/07/1888,1888,Wimbledon,Ernest Renshaw,03/01/1861,10056,"27 years, 6 months, 13 days"
30/08/1887,1887,U.S. Open,Richard D. Sears,26/10/1861,9439,"25 years, 10 months, 4 days"
07/07/1887,1887,Wimbledon,Herbert Lawford,15/05/1851,13202,"36 years, 1 month, 22 days"
28/08/1886,1886,U.S. Open,Richard D. Sears,26/10/1861,9072,"24 years, 10 months, 2 days"
17/07/1886,1886,Wimbledon,William Renshaw,03/01/1861,9326,"25 years, 6 months, 14 days"
22/08/1885,1885,U.S. Open,Richard D. Sears,26/10/1861,8702,"23 years, 9 months, 28 days"
17/07/1885,1885,Wimbledon,William Renshaw,03/01/1861,8961,"24 years, 6 months, 14 days"
27/08/1884,1884,U.S. Open,Richard D. Sears,26/10/1861,8342,"22 years, 10 months, 2 days"
19/07/1884,1884,Wimbledon,William Renshaw,03/01/1861,8598,"23 years, 6 months, 16 days"
24/08/1883,1883,U.S. Open,Richard D. Sears,26/10/1861,7973,"21 years, 9 months, 30 days"
16/07/1883,1883,Wimbledon,William Renshaw,03/01/1861,8229,"22 years, 6 months, 13 days"
02/09/1882,1882,U.S. Open,Richard D. Sears,26/10/1861,7617,"20 years, 10 months, 8 days"
17/07/1882,1882,Wimbledon,William Renshaw,03/01/1861,7865,"21 years, 6 months, 14 days"
03/09/1881,1881,U.S. Open,Richard D. Sears,26/10/1861,7252,"19 years, 10 months, 8 days"
13/07/1881,1881,Wimbledon,William Renshaw,03/01/1861,7496,"20 years, 6 months, 10 days"
15/07/1880,1880,Wimbledon,John Hartley,09/01/1849,11510,"31 years, 6 months, 6"
16/07/1879,1879,Wimbledon,John Hartley,09/01/1849,11145,"30 years, 6 months, 7 days"
20/07/1878,1878,Wimbledon,Frank Hadow,02/01/1855,8600,"23 years, 6 months, 18 days"
19/07/1877,1877,Wimbledon,Spencer Gore,10/03/1850,9993,"31 years, 3 months, 7 days"
